"Country     ","Total Citations","Average Article Citations"
"CHINA          ","2414"," 25.96"
"UNITED KINGDOM ","1333"," 39.21"
"USA            ","1288"," 33.03"
"AUSTRALIA      "," 644"," 26.83"
"CANADA         "," 536"," 24.36"
"IRELAND        "," 476","158.67"
"BRAZIL         "," 383"," 63.83"
"SPAIN          "," 345"," 21.56"
"LUXEMBOURG     "," 316"," 39.50"
"EGYPT          "," 306"," 25.50"
