"Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"CHINA       ","5","0.25","3","2","0.40"
"LUXEMBOURG  ","4","0.20","3","1","0.25"
"ITALY       ","2","0.10","2","0","0.00"
"USA         ","2","0.10","2","0","0.00"
"AUSTRIA     ","1","0.05","0","1","1.00"
"GERMANY     ","1","0.05","1","0","0.00"
"INDIA       ","1","0.05","1","0","0.00"
"SAUDI ARABIA","1","0.05","0","1","1.00"
"SPAIN       ","1","0.05","1","0","0.00"
"SWEDEN      ","1","0.05","1","0","0.00"
